x y Pressure
1 9 0.217664
1.5 6 0.236227
2 4.5 0.250713
2.5 3.6 0.169697
3 3 0.191594
3.6 2.5 0.216287
4.5 2 0.197803
6 1.5 0.23709
9 1 0.230385
